date,port_ret,equity,market_ok,market_price,market_sma,market_entry_th,market_exit_th,n_holdings,gross_exposure,cash_weight,risk_on_portfolio
2020-11-16,0.0,1.073981842643767,1,1.4338026938186546,1.3319321063031777,1.3585707484292413,1.3319321063031777,1,0.0,1.0,0
2020-11-17,0.0,1.073981842643767,1,1.4335928912424625,1.3343461250701147,1.361033047571517,1.3343461250701147,1,0.0,1.0,0
2020-11-18,0.0,1.073981842643767,1,1.4358511698763279,1.3375919983967528,1.364343838364688,1.3375919983967528,1,0.0,1.0,0
2020-11-19,0.0,1.073981842643767,1,1.4332158434569453,1.3405604875195165,1.3673716972699068,1.3405604875195165,1,0.0,1.0,0
2020-11-20,0.0,1.073981842643767,1,1.4425392879441437,1.3434959029293598,1.370365820987947,1.3434959029293598,1,0.0,1.0,0
2020-11-23,0.0,1.073981842643767,1,1.462206196769485,1.3463016084093786,1.3732276405775663,1.3463016084093786,1,0.0,1.0,0
2020-11-24,0.0,1.073981842643767,1,1.4702933922397499,1.349400285115436,1.3763882908177447,1.349400285115436,1,0.0,1.0,0
2020-11-25,0.0,1.073981842643767,1,1.4662061398685953,1.3527145580589814,1.3797688492201612,1.3527145580589814,1,0.0,1.0,0
2020-11-26,0.0,1.073981842643767,1,1.4682866852177305,1.3558561983485198,1.3829733223154903,1.3558561983485198,1,0.0,1.0,0
2020-11-27,0.0,1.073981842643767,1,1.4749265597285175,1.3590969605496004,1.3862788997605924,1.3590969605496004,1,0.0,1.0,0
2020-11-30,-0.0004999999999999999,1.0734448517224453,1,1.459545431781165,1.3617662387006046,1.3890015634746167,1.3617662387006046,30,1.0,0.0,1
2020-12-01,0.018597640049701773,1.093408392687985,1,1.479995796536506,1.364549134886578,1.3918401175843096,1.364549134886578,30,1.0,0.0,1
2020-12-02,0.009939901277181943,1.1042767641669458,1,1.490550828287261,1.3673454967442922,1.3946924066791782,1.3673454967442922,30,1.0,0.0,1
2020-12-03,0.003923780290789308,1.1086097035697604,1,1.494026969357402,1.3702448624975223,1.3976497597474729,1.3702448624975223,30,1.0,0.0,1
2020-12-04,-0.000845116262942913,1.1076727994800173,1,1.4961850657816747,1.3727871476440272,1.4002428905969078,1.3727871476440272,30,1.0,0.0,1
2020-12-07,0.0016779124733174553,1.1095313774866193,1,1.4888566733981308,1.3752043557239755,1.402708442838455,1.3752043557239755,30,1.0,0.0,1
2020-12-08,-0.012021016244927341,1.096193682773596,1,1.4776081688159879,1.377613289442902,1.4051655552317601,1.377613289442902,30,1.0,0.0,1
2020-12-09,0.01543498553568441,1.113113416411515,1,1.5012136035979013,1.380225670260876,1.4078301836660936,1.380225670260876,30,1.0,0.0,1
2020-12-10,0.008873596052179807,1.1229907352290125,1,1.5095782643498568,1.3829523318552728,1.4106113784923782,1.3829523318552728,30,1.0,0.0,1
2020-12-11,0.022236222124064512,1.1479618066608315,1,1.5326981342039194,1.3858101644500769,1.4135263677390784,1.3858101644500769,30,1.0,0.0,1
2020-12-14,-0.006300674100786035,1.140728873436912,1,1.5214187502379901,1.3884302965509174,1.4161989024819357,1.3884302965509174,30,1.0,0.0,1
2020-12-15,-0.003460617552069852,1.1367812470753436,1,1.522658589796791,1.3911209448710997,1.4189433637685218,1.3911209448710997,30,1.0,0.0,1
2020-12-16,0.01729145499046113,1.156437848843147,1,1.5398707877518212,1.394230850491139,1.4221154675009617,1.394230850491139,30,1.0,0.0,1
2020-12-17,0.004127499028968386,1.1612110449413093,1,1.5413801378822196,1.3973424919953774,1.425289341835285,1.3973424919953774,30,1.0,0.0,1
2020-12-18,-0.007819196975955199,1.1521313070502583,1,1.5444023282717303,1.400746038672098,1.42876095944554,1.400746038672098,30,1.0,0.0,1
2020-12-21,-0.003941168781670239,1.147590563110527,1,1.549751603848092,1.4047936157347976,1.4328894880494936,1.4047936157347976,30,1.0,0.0,1
2020-12-22,-0.02317111938444931,1.1209996051682256,1,1.5211659716741825,1.4084312581979312,1.4365998833618898,1.4084312581979312,30,1.0,0.0,1
2020-12-23,0.0036708269826281176,1.1251146007663928,1,1.526598943739162,1.4127449352819963,1.4409998339876362,1.4127449352819963,30,1.0,0.0,1
2020-12-24,0.0022348234324684173,1.127629033240398,1,1.539567268440413,1.4172067345616775,1.445550869252911,1.4172067345616775,30,1.0,0.0,1
2020-12-28,-0.004081116521145967,1.1230270477631168,1,1.538327225998207,1.4212584066763574,1.4496835748098846,1.4212584066763574,30,1.0,0.0,1
2020-12-29,0.021598763418130672,1.1472830432799141,1,1.5407865728999588,1.4251074892316544,1.4536096390162876,1.4251074892316544,30,1.0,0.0,1
2020-12-30,0.021056729321795514,1.1714410717777453,1,1.5590295571136563,1.4288412641560913,1.457418089439213,1.4288412641560913,1,0.0,1.0,0
2021-01-04,0.0,1.1714410717777453,1,1.5840417601664378,1.433004403457033,1.4616644915261738,1.433004403457033,1,0.0,1.0,0
2021-01-05,0.0,1.1714410717777453,1,1.6113236467773493,1.4374657197340308,1.4662150341287115,1.4374657197340308,1,0.0,1.0,0
2021-01-06,0.0,1.1714410717777453,1,1.6067990645712453,1.4417308595063691,1.4705654766964966,1.4417308595063691,1,0.0,1.0,0
2021-01-07,0.0,1.1714410717777453,1,1.6403277162118952,1.4463912854537289,1.4753191111628035,1.4463912854537289,1,0.0,1.0,0
2021-01-08,0.0,1.1714410717777453,1,1.6685223442272834,1.451601021584767,1.4806330420164624,1.451601021584767,1,0.0,1.0,0
2021-01-11,0.0,1.1714410717777453,1,1.646297275698275,1.4567147796260427,1.4858490752185636,1.4567147796260427,1,0.0,1.0,0
2021-01-12,0.0,1.1714410717777453,1,1.6459708600347676,1.4619166641270427,1.4911549974095835,1.4619166641270427,1,0.0,1.0,0
2021-01-13,0.0,1.1714410717777453,1,1.6607491933554268,1.4674541948655213,1.4968032787628318,1.4674541948655213,1,0.0,1.0,0
2021-01-14,0.0,1.1714410717777453,1,1.6735761958834872,1.4731111480760881,1.50257337103761,1.4731111480760881,1,0.0,1.0,0
2021-01-15,0.0,1.1714410717777453,1,1.6511544161338017,1.4783365618420412,1.507903293078882,1.4783365618420412,1,0.0,1.0,0
2021-01-18,0.0,1.1714410717777453,1,1.6200005711559045,1.482794361516425,1.5124502487467535,1.482794361516425,1,0.0,1.0,0
2021-01-19,0.0,1.1714410717777453,1,1.6573248362817723,1.4879210534932028,1.5176794745630668,1.4879210534932028,1,0.0,1.0,0
2021-01-20,0.0,1.1714410717777453,1,1.6709391052921625,1.4932019258139773,1.5230659643302569,1.4932019258139773,1,0.0,1.0,0
2021-01-21,0.0,1.1714410717777453,1,1.6976810030593301,1.4992998066261518,1.5292858027586749,1.4992998066261518,1,0.0,1.0,0
2021-01-22,0.0,1.1714410717777453,1,1.6931091211733795,1.5055271777089851,1.535637721263165,1.5055271777089851,1,0.0,1.0,0
2021-01-25,0.0,1.1714410717777453,1,1.718873405921097,1.5119008542407868,1.5421388713256026,1.5119008542407868,1,0.0,1.0,0
2021-01-26,0.0,1.1714410717777453,1,1.6989699779914205,1.5181717684211804,1.548535203789604,1.5181717684211804,1,0.0,1.0,0
2021-01-27,0.0,1.1714410717777453,1,1.6895590332041768,1.5247643121368752,1.5552595983796127,1.5247643121368752,1,0.0,1.0,0
2021-01-28,0.0,1.1714410717777453,1,1.66067973282918,1.5305257380403523,1.5611362528011594,1.5305257380403523,1,0.0,1.0,0
2021-01-29,0.0,1.1714410717777453,1,1.6080234994528526,1.535060592810996,1.565761804667216,1.535060592810996,1,0.0,1.0,0
2021-02-01,0.0,1.1714410717777453,1,1.6516688198405514,1.5403111316620715,1.571117354295313,1.5403111316620715,1,0.0,1.0,0
2021-02-02,0.0,1.1714410717777453,1,1.6710282874136535,1.5454706265693576,1.5763800391007448,1.5454706265693576,1,0.0,1.0,0
