strategy,rebalance_date,fund_asof_date,ticker,weight,regime,regime_score,growth_score,score_rank,top_n,good_regimes,sma_window,require_above_sma,market_gate,market_ok,market_price,market_sma,market_sma_window,market_sma_mult,market_entry_mult,market_exit_mult
S2,2017-05-31,,008770,0.03333333333333333,3.0,0.7214285714285714,42.599999999999994,33.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,009830,0.03333333333333333,3.0,0.6928571428571428,22.099999999999998,14.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,010950,0.03333333333333333,4.0,0.8178571428571428,64.6,63.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,012510,0.03333333333333333,4.0,0.9571428571428572,33.699999999999996,26.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,012750,0.03333333333333333,3.0,0.6571428571428571,56.699999999999996,54.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,018260,0.03333333333333333,3.0,0.7964285714285714,55.199999999999996,50.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,018670,0.03333333333333333,3.0,0.6178571428571429,11.6,8.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,018880,0.03333333333333333,3.0,0.6285714285714286,56.4,53.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,022100,0.03333333333333333,3.0,0.6678571428571428,41.3,31.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,034730,0.03333333333333333,4.0,0.8535714285714285,3.1999999999999997,1.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,036570,0.03333333333333333,4.0,0.8464285714285714,23.7,17.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
