rebalance_date,side,buy_date,ticker,name,market,price,qty,amount,first_buy_date,sell_price,pnl
2017-05-31,SELL,2017-05-17,065350,신성델타테크,KOSDAQ,,1,3490.0,2017-05-17,3490.0,-10.0
2017-05-31,SELL,2017-05-10,090430,아모레퍼시픽,KOSPI,,1,343000.0,2017-05-10,343000.0,-1500.0
2017-05-31,SELL,2017-05-17,095660,네오위즈,KOSDAQ,,1,12850.0,2017-05-17,12850.0,-1000.0
2017-05-31,SELL,2017-04-19,161890,한국콜마,KOSPI,,1,85400.0,2017-04-19,85400.0,5700.0
2017-06-07,BUY,2017-06-07,020560,아시아나항공,KOSPI,26154.0,1,26154.0,2017-06-07,,
2017-06-07,BUY,2017-06-07,028260,삼성물산,KOSPI,142500.0,1,142500.0,2017-06-07,,
2017-06-07,BUY,2017-06-07,065350,신성델타테크,KOSDAQ,3600.0,1,3600.0,2017-06-07,,
2017-06-07,BUY,2017-06-07,090430,아모레퍼시픽,KOSPI,336000.0,1,336000.0,2017-06-07,,
2017-06-07,BUY,2017-06-07,095660,네오위즈,KOSDAQ,13600.0,1,13600.0,2017-06-07,,
2017-06-07,BUY,2017-06-07,161890,한국콜마,KOSPI,82900.0,1,82900.0,2017-06-07,,
2017-06-07,SELL,2017-05-31,002380,KCC,KOSPI,,1,357762.0,2017-05-31,357762.0,0.0
2017-06-07,SELL,2017-05-31,005930,삼성전자,KOSPI,,1,45300.0,2017-05-31,45300.0,600.0
2017-06-07,SELL,2017-05-31,007310,오뚜기,KOSPI,,1,830000.0,2017-05-31,830000.0,-21000.0
2017-06-07,SELL,2017-05-31,010950,S-Oil,KOSPI,,1,96300.0,2017-05-31,96300.0,-7200.0
2017-06-07,SELL,2017-05-24,018670,SK가스,KOSPI,,1,115941.0,2017-05-24,115941.0,-3897.0
2017-06-07,SELL,2017-05-31,112610,씨에스윈드,KOSPI,,1,11435.0,2017-05-31,11435.0,284.0
2017-06-14,BUY,2017-06-14,000100,유한양행,KOSPI,36356.0,1,36356.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,002380,KCC,KOSPI,352495.0,1,352495.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,004370,농심,KOSPI,354000.0,1,354000.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,006260,LS,KOSPI,74400.0,1,74400.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,007310,오뚜기,KOSPI,863000.0,1,863000.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,018670,SK가스,KOSPI,125197.0,1,125197.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,066570,LG전자,KOSPI,85900.0,1,85900.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,066970,엘앤에프,KOSPI,18821.0,1,18821.0,2017-06-14,,
2017-06-14,BUY,2017-06-14,112610,씨에스윈드,KOSPI,10818.0,1,10818.0,2017-06-14,,
2017-06-14,SELL,2017-04-19,006280,녹십자,KOSPI,,1,178000.0,2017-04-19,178000.0,17000.0
2017-06-14,SELL,2017-05-04,012750,에스원,KOSPI,,1,102000.0,2017-05-04,102000.0,3600.0
2017-06-14,SELL,2017-06-07,028260,삼성물산,KOSPI,,1,136500.0,2017-06-07,136500.0,-6000.0
2017-06-14,SELL,2017-05-31,047040,대우건설,KOSPI,,1,7190.0,2017-05-31,7190.0,-360.0
2017-06-14,SELL,2017-05-31,064260,다날,KOSDAQ,,1,4835.0,2017-05-31,4835.0,-365.0
2017-06-14,SELL,2017-05-31,084370,유진테크,KOSDAQ,,1,18650.0,2017-05-31,18650.0,-250.0
